Phrase	IPA	SoundsLike	DisplayAs
N.C.-double-A.		N-C-double-A	NCAA
Kerry-Strug		carry-strug	Kerri Strug
Gymternet		jim-ter-net	Gymternet
W.N.B.A		double-u-enn-be-ae	WNBA
S.E.C.		ess-ee-see	SEC
S.E.C.-s		ess-ee-seize	SECs
U.C.L.A.		you-see-el-ae	UCLA
L.G.B.T.Q.-plus		el-g-be-tea-q-Plus	LGBTQ+
Blake		bl-ache	Blake
Kino		kee-no	Kino
Half-and-Half-Out-podcast		Half-in-half-out-podcast	Half In Half Out Podcast
Shane-hair		shane-hair	Schoenherr
Beam		Beam	beam
came-out		came-out	came out
Gymcastic		jim-castic	Gymcastic
Meat		meat	meet
H.I.H.O.-podcast		h-i-h-oh-podcast	HIHOPodcast
M.S.U		M.S.U	MSU
L.S.U.		L.S.U.	LSU
O.S.U.		O.S.U.	OSU
Routine		roo-teen	Routine
Sports-like		sports-like	sports psych
big-ten		big-ten	Big Ten
twitter		twitter	Twitter
S.A.C.		sack	SAC
morgan-heard		morgan-heard	Morgan Hurd
D.-one		D-One	D1
N.A.I.G.C		N.A.I.G.C	NAIGC
M.A.G		M.A.G	MAG
W.A.G		W.A.G	WAG
he-they		he-they	he/they
she-her		she-her	she/her
queer		queer	queer
he-him		he-him	he/him
they-them		they-them	they/them
A.F.A.B.		A.-fab	AFAB
Stands		Stands	stans
cali		cali	Kaly
steel		steel	Steele
bye		bye	bi
L.G.B.T.Q.		L.G.B.T.Q	LGBTQ
L.G.B.T.		L.G.B.T.	LGBT
Van-Loon		Van-loon	Van Leeuwin
Van-Loon		Van-loo-in	Van Leeuwin
T.-Public		tee-public	TeePublic
N.C.A.		N.C.A.	NCAA
Michaela-Skinner		Michaela-Skinner	MyKayla Skinner
Tom-Forrester		Tom-Forrester	Tom Forster
